episode,timestep,reward
94,2000,21.1383
192,4000,20.4796
261,6000,28.7971
337,8000,26.25
393,10000,35.875
447,12000,37.0185
481,14000,58.5294
510,16000,69.3793
529,18000,104.6842
542,20000,153.3846
553,22000,167.4545
564,24000,180.0909
573,26000,227.4444
583,28000,203.6
593,30000,201.1
602,32000,208.0
609,34000,309.5714
615,36000,331.0
621,38000,311.0
626,40000,374.8
631,42000,460.0
635,44000,500.0
641,46000,280.1667
646,48000,436.2
650,50000,461.0
655,52000,461.4
659,54000,500.0
663,56000,453.5
669,58000,360.5
675,60000,332.3333
679,62000,435.25
684,64000,449.2
688,66000,500.0
692,68000,412.0
696,70000,488.0
700,72000,500.0
705,74000,439.6
711,76000,367.8333
715,78000,500.0
719,80000,500.0
723,82000,442.5
727,84000,484.25
731,86000,500.0
735,88000,500.0
739,90000,500.0
743,92000,500.0
753,94000,230.7
762,96000,212.6667
770,98000,243.875
775,100000,393.0
780,102000,423.4
784,104000,500.0
788,106000,500.0
792,108000,479.75
797,110000,421.8
801,112000,398.75
805,114000,500.0
809,116000,500.0
813,118000,500.0
817,120000,500.0
821,122000,500.0
825,124000,500.0
829,126000,500.0
833,128000,500.0
837,130000,500.0
841,132000,500.0
845,134000,500.0
849,136000,500.0
853,138000,500.0
857,140000,500.0
861,142000,500.0
865,144000,500.0
869,146000,500.0
873,148000,500.0
878,150000,476.6
882,152000,500.0
886,154000,494.25
890,156000,500.0
894,158000,470.0
899,160000,438.6
903,162000,500.0
907,164000,492.0
911,166000,500.0
915,168000,464.5
920,170000,403.8
927,172000,310.5714
931,174000,500.0
935,176000,450.75
939,178000,500.0
943,180000,478.25
947,182000,500.0
951,184000,500.0
955,186000,456.25
959,188000,500.0
963,190000,500.0
968,192000,484.0
972,194000,500.0
977,196000,386.2
982,198000,428.2
986,200000,454.75
992,202000,343.6667
997,204000,413.0
1002,206000,359.0
1007,208000,392.0
1011,210000,479.5
1015,212000,495.75
1020,214000,450.8
1024,216000,463.0
1028,218000,465.75
1033,220000,483.2
1037,222000,478.5
1041,224000,453.75
1045,226000,481.5
1050,228000,468.6
1055,230000,366.8
1060,232000,382.8
1065,234000,427.2
1069,236000,462.5
1073,238000,500.0
1077,240000,500.0
1081,242000,500.0
1086,244000,440.2
1090,246000,500.0
1094,248000,409.25
1098,250000,500.0
1102,252000,494.75
1106,254000,500.0
1110,256000,500.0
1116,258000,374.0
1120,260000,442.0
1125,262000,471.0
1130,264000,419.4
1134,266000,491.5
1138,268000,473.75
1142,270000,500.0
1146,272000,500.0
1150,274000,500.0
1154,276000,490.25
1159,278000,427.2
1164,280000,394.0
1168,282000,500.0
1172,284000,500.0
1176,286000,500.0
1180,288000,500.0
1185,290000,378.0
1190,292000,414.2
1194,294000,467.25
1198,296000,500.0
1202,298000,500.0
1207,300000,413.4
1211,302000,420.0
1215,304000,500.0
1219,306000,500.0
1224,308000,450.4
1228,310000,500.0
1233,312000,410.6
1237,314000,470.25
1242,316000,433.4
1246,318000,477.75
1251,320000,436.2
1255,322000,467.75
1259,324000,484.75
1263,326000,500.0
1267,328000,500.0
1272,330000,426.8
1276,332000,402.5
1281,334000,489.0
1285,336000,482.5
1289,338000,499.5
1293,340000,500.0
1297,342000,500.0
1301,344000,500.0
1305,346000,500.0
1309,348000,500.0
1313,350000,500.0
1317,352000,500.0
1322,354000,421.6
1327,356000,379.8
1331,358000,500.0
1335,360000,500.0
1339,362000,500.0
1343,364000,500.0
1347,366000,500.0
