episode,timestep,reward
9,2000,-1204.7866
19,4000,-1035.6497
29,6000,-1191.3004
39,8000,-1090.7345
49,10000,-1073.023
59,12000,-1077.5534
69,14000,-1124.4544
79,16000,-1121.854
89,18000,-1109.3887
99,20000,-1073.5771
109,22000,-1155.2833
119,24000,-1093.6383
129,26000,-946.6135
139,28000,-1034.0517
149,30000,-1123.0253
159,32000,-1081.087
169,34000,-971.9094
179,36000,-1030.3907
189,38000,-1098.1327
199,40000,-1060.9309
209,42000,-1033.8505
219,44000,-1150.8743
229,46000,-1011.267
239,48000,-928.3912
249,50000,-1022.8556
259,52000,-985.8409
269,54000,-974.8559
279,56000,-1084.5218
289,58000,-939.1991
299,60000,-980.3711
309,62000,-935.83
319,64000,-923.2857
329,66000,-902.9032
339,68000,-884.8253
349,70000,-984.6254
359,72000,-935.9769
369,74000,-874.9698
379,76000,-945.5737
389,78000,-940.3209
399,80000,-932.8605
409,82000,-964.5407
419,84000,-909.9722
429,86000,-969.3202
439,88000,-951.1187
449,90000,-846.9868
459,92000,-817.1903
469,94000,-958.0143
479,96000,-883.0747
489,98000,-879.8285
499,100000,-867.441
509,102000,-871.716
519,104000,-959.944
529,106000,-877.5764
539,108000,-906.6007
549,110000,-898.2077
559,112000,-912.7539
569,114000,-879.2315
579,116000,-867.714
589,118000,-818.9128
599,120000,-885.8138
609,122000,-869.3759
619,124000,-871.3483
629,126000,-840.9832
639,128000,-892.7356
649,130000,-828.5559
659,132000,-924.6365
669,134000,-824.1633
679,136000,-860.7503
689,138000,-851.3425
699,140000,-883.8555
709,142000,-836.8424
719,144000,-815.2289
729,146000,-845.3559
739,148000,-836.5212
749,150000,-816.1958
759,152000,-825.0479
769,154000,-837.8979
779,156000,-806.1929
789,158000,-863.2389
799,160000,-829.9815
809,162000,-801.3114
819,164000,-823.2616
829,166000,-803.961
839,168000,-867.587
849,170000,-825.1923
859,172000,-775.0262
869,174000,-864.6306
879,176000,-796.9694
889,178000,-838.6448
899,180000,-812.049
909,182000,-811.6481
919,184000,-808.4304
929,186000,-800.2656
939,188000,-801.773
949,190000,-836.0654
959,192000,-791.1624
969,194000,-768.4033
979,196000,-810.8551
989,198000,-778.7316
999,200000,-782.2606
1009,202000,-816.3765
1019,204000,-796.0869
1029,206000,-838.6003
1039,208000,-788.4964
1049,210000,-787.6036
1059,212000,-831.6009
1069,214000,-796.1835
1079,216000,-783.8163
1089,218000,-783.5685
1099,220000,-781.4711
1109,222000,-701.9652
1119,224000,-797.2554
1129,226000,-760.9485
1139,228000,-810.0226
1149,230000,-718.3332
1159,232000,-799.7462
1169,234000,-794.7938
1179,236000,-770.8647
1189,238000,-833.8776
1199,240000,-777.7414
1209,242000,-764.2769
1219,244000,-785.8308
1229,246000,-746.5939
1239,248000,-773.7793
1249,250000,-712.3073
1259,252000,-710.724
1269,254000,-703.3616
1279,256000,-679.1587
1289,258000,-691.2796
1299,260000,-756.9434
1309,262000,-655.7515
1319,264000,-716.755
1329,266000,-755.0205
1339,268000,-783.1091
1349,270000,-736.6339
1359,272000,-748.3604
1369,274000,-795.305
1379,276000,-741.231
1389,278000,-700.1561
1399,280000,-625.0704
1409,282000,-766.4912
1419,284000,-717.5628
1429,286000,-697.18
1439,288000,-702.8369
1449,290000,-712.8514
1459,292000,-789.5377
1469,294000,-746.128
1479,296000,-711.8217
1489,298000,-719.2322
1499,300000,-759.5979
1509,302000,-675.6976
1519,304000,-748.9894
1529,306000,-708.7102
1539,308000,-645.7022
1549,310000,-696.9774
1559,312000,-624.2226
1569,314000,-718.3978
1579,316000,-722.3371
1589,318000,-728.056
1599,320000,-683.4371
1609,322000,-687.5901
1619,324000,-700.0783
1629,326000,-701.3919
1639,328000,-729.5076
1649,330000,-659.0099
1659,332000,-627.5476
1669,334000,-681.008
1679,336000,-678.292
1689,338000,-695.0106
1699,340000,-693.5928
1709,342000,-702.5834
1719,344000,-667.851
1729,346000,-643.5921
1739,348000,-670.5346
1749,350000,-610.5102
1759,352000,-649.4224
1769,354000,-660.2215
1779,356000,-672.2209
1789,358000,-655.3595
1799,360000,-701.7626
